CrimeDate,CrimeCode,Location,Description,Weapon,District,Neighborhood
9/21/2017,6C,0 LIGHT ST,LARCENY,,CENTRAL,Downtown
9/21/2017,6C,6600 BELAIR RD,LARCENY,,NORTHEASTERN,Cedmont
9/21/2017,6J,1300 S HANOVER ST,LARCENY,,SOUTHERN,South Baltimore
9/21/2017,6G,6100 HARFORD RD,LARCENY,,NORTHEASTERN,Westfield
9/21/2017,6C,3900 E LOMBARD ST,LARCENY,,SOUTHEASTERN,Baltimore Highlands
9/21/2017,6G,1700 WHETSTONE WAY,LARCENY,,SOUTHERN,Locust Point Industrial A
9/21/2017,6G,400 E 33RD ST,LARCENY,,NORTHERN,Oakenshawe
9/21/2017,6C,3500 BOSTON ST,LARCENY,,SOUTHEASTERN,Canton Industrial Area
9/21/2017,6C,600 E PRATT ST,LARCENY,,CENTRAL,Inner Harbor
9/21/2017,6G,100 W FRANKLIN ST,LARCENY,,CENTRAL,Mount Vernon
9/21/2017,6J,1000 W LEXINGTON ST,LARCENY,,WESTERN,Poppleton
9/21/2017,6J,900 S CHARLES ST,LARCENY,,SOUTHERN,Federal Hill
9/21/2017,6G,200 E 21ST ST,LARCENY,,NORTHERN,Barclay
9/21/2017,6G,700 N MONTFORD AVE,LARCENY,,EASTERN,Milton-Montford
9/21/2017,6J,1100 RAMBLEWOOD RD,LARCENY,,NORTHERN,Glen Oaks
9/21/2017,6E,2600 NORLAND RD,LARCENY,,SOUTHERN,Lakeland
9/21/2017,6E,2700 BOOKERT DR,LARCENY,,SOUTHERN,Cherry Hill
9/21/2017,6C,5200 YORK RD,LARCENY,,NORTHERN,York-Homeland
9/21/2017,6C,900 N CAROLINE ST,LARCENY,,EASTERN,Gay Street
9/21/2017,6J,4600 FALLS RD,LARCENY,,NORTHERN,Roland Park
9/21/2017,6C,3300 E FAYETTE ST,LARCENY,,SOUTHEASTERN,Patterson Park Neighborho
9/21/2017,6C,6000 HARFORD RD,LARCENY,,NORTHEASTERN,Westfield
9/21/2017,6G,800 PRIMSON AVE,LARCENY,,SOUTHWESTERN,Saint Agnes
9/20/2017,6C,2400 SAINT PAUL ST,LARCENY,,NORTHERN,Barclay
9/20/2017,6J,600 S EXETER ST,LARCENY,,SOUTHEASTERN,Inner Harbor
9/20/2017,6J,6000 BELAIR RD,LARCENY,,NORTHEASTERN,Cedmont
9/20/2017,6C,6100 HARFORD RD,LARCENY,,NORTHEASTERN,Westfield
9/20/2017,6E,2000 ASHBURTON ST,LARCENY,,SOUTHWESTERN,Walbrook
9/20/2017,6C,2500 MAISEL ST,LARCENY,,SOUTHERN,Westport
9/20/2017,6J,800 E COLD SPRING LN,LARCENY,,NORTHERN,Wrenlane
9/20/2017,6C,200 E PRATT ST,LARCENY,,CENTRAL,Inner Harbor
9/20/2017,6C,4800 O''DONNELL ST,LARCENY,,SOUTHEASTERN,Greektown
9/20/2017,6F,1000 E PATAPSCO AVE,LARCENY,,SOUTHERN,Fairfield Area
9/20/2017,6G,1400 W MOUNT ROYAL AVE,LARCENY,,CENTRAL,Bolton Hill
9/20/2017,6C,200 N GAY ST,LARCENY,,EASTERN,Jonestown
