1/1/2017,2A,2500 W BELVEDERE AVE,RAPE,OTHER,NORTHERN,Levindale
1/1/2017,2A,4200 PENNINGTON AVE,RAPE,OTHER,SOUTHERN,Curtis Bay
1/1/2017,2A,1900 W PRATT ST,RAPE,OTHER,SOUTHERN,Carrollton Ridge
12/28/2016,2A,3900 COLBORNE RD,RAPE,OTHER,SOUTHWESTERN,Edmondson Village
12/28/2016,2A,1000 N WOODYEAR ST,RAPE,OTHER,WESTERN,Sandtown-Winchester
12/27/2016,2B,3800 COPLEY RD,RAPE,,NORTHWESTERN,Ashburton
12/22/2016,2A,2200 N CHARLES ST,RAPE,OTHER,NORTHERN,Old Goucher
12/22/2016,2A,2500 N HOWARD ST,RAPE,OTHER,NORTHERN,Charles Village
12/14/2016,2A,1400 HOMESTEAD ST,RAPE,OTHER,NORTHEASTERN,Coldstream Homestead Mont
12/13/2016,2B,1600 BRUNT ST,RAPE,,CENTRAL,Upton
12/13/2016,2A,1600 SHADYSIDE RD,RAPE,OTHER,NORTHEASTERN,Hillen
12/10/2016,2A,800 E 33RD ST,RAPE,OTHER,NORTHERN,Waverly
12/10/2016,2A,100 W 25TH ST,RAPE,OTHER,NORTHERN,Charles Village
12/9/2016,2A,4700 GREENSPRING AVE,RAPE,OTHER,NORTHERN,Coldspring
12/7/2016,2A,3400 PARK HEIGHTS AVE,RAPE,OTHER,NORTHWESTERN,Park Circle
12/6/2016,2A,3700 GREENSPRING AVE,RAPE,OTHER,NORTHWESTERN,Park Circle
12/6/2016,2A,2800 FREDERICK AVE,RAPE,OTHER,SOUTHWESTERN,Carroll-South Hilton
12/5/2016,2A,1300 RAMSAY ST,RAPE,OTHER,SOUTHERN,New Southwest/Mount Clare
12/5/2016,2A,100 W 39TH ST,RAPE,OTHER,NORTHERN,Tuscany-Canterbury
12/5/2016,2A,200 CHERRY HILL RD,RAPE,OTHER,SOUTHERN,Cherry Hill
12/3/2016,2A,500 ROUNDVIEW RD,RAPE,OTHER,SOUTHERN,Cherry Hill
12/3/2016,2A,600 S BRICE ST,RAPE,OTHER,SOUTHERN,Carrollton Ridge
11/30/2016,2A,0 W NORTH AVE,RAPE,OTHER,CENTRAL,Charles North
11/29/2016,2A,1500 WASHINGTON BLVD,RAPE,OTHER,SOUTHERN,Carroll Park
11/28/2016,2B,600 N CENTRAL AVE,RAPE,,EASTERN,Dunbar-Broadway
11/27/2016,2A,0 W FRANKLIN ST,RAPE,OTHER,CENTRAL,Mount Vernon
11/23/2016,2A,3300 FLEET ST,RAPE,OTHER,SOUTHEASTERN,Canton
